@RELATION Ice99999

@ATTRIBUTE countlinecode REAL
@ATTRIBUTE countclassbase REAL
@ATTRIBUTE countclasscoupled REAL
@ATTRIBUTE countclassderived REAL
@ATTRIBUTE countdeclmethodall REAL
@ATTRIBUTE countdeclmethod REAL
@ATTRIBUTE maxinheritancetree REAL
@ATTRIBUTE percentlackofcohesion REAL
@ATTRIBUTE countdeclinstancemethod REAL
@ATTRIBUTE countdeclinstancevariable REAL
@ATTRIBUTE defect {0.0,1.0}

@DATA
17.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
7.0,1.0,1.0,0.0,370.0,1.0,5.0,0.0,1.0,0.0,1.0
392.0,1.0,9.0,3.0,45.0,19.0,6.0,68.0,19.0,7.0,1.0
16.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,0.0
16.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,0.0
26.0,1.0,4.0,0.0,7.0,3.0,2.0,33.0,3.0,1.0,0.0
5.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0
5.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0
22.0,1.0,2.0,0.0,7.0,3.0,2.0,0.0,3.0,0.0,1.0
13.0,1.0,5.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0
13.0,1.0,5.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0
13.0,1.0,6.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0
13.0,1.0,5.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0
13.0,1.0,6.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0
13.0,1.0,5.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0
12.0,1.0,3.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0
12.0,1.0,3.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0
13.0,1.0,3.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0
13.0,1.0,3.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0
12.0,1.0,3.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0
13.0,1.0,3.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0
13.0,1.0,3.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0
12.0,1.0,3.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0
5.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
95.0,1.0,4.0,0.0,13.0,4.0,2.0,75.0,4.0,4.0,0.0
9.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0
5.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
94.0,1.0,4.0,0.0,13.0,4.0,2.0,75.0,4.0,4.0,0.0
130.0,2.0,4.0,3.0,15.0,15.0,1.0,87.0,9.0,4.0,0.0
31.0,1.0,0.0,0.0,21.0,6.0,2.0,16.0,6.0,1.0,0.0
31.0,1.0,0.0,0.0,21.0,6.0,2.0,16.0,6.0,1.0,0.0
22.0,1.0,0.0,0.0,19.0,4.0,2.0,0.0,4.0,1.0,0.0
159.0,1.0,8.0,2.0,9.0,9.0,1.0,72.0,5.0,6.0,0.0
570.0,1.0,13.0,0.0,30.0,30.0,1.0,89.0,30.0,26.0,1.0
6.0,0.0,3.0,4.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0
8.0,1.0,3.0,0.0,5.0,1.0,2.0,0.0,1.0,0.0,1.0
14.0,2.0,4.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
8.0,1.0,3.0,0.0,5.0,1.0,2.0,0.0,1.0,0.0,1.0
