@RELATION Lolli99999

@ATTRIBUTE countlinecode REAL
@ATTRIBUTE countclassbase REAL
@ATTRIBUTE countclasscoupled REAL
@ATTRIBUTE countclassderived REAL
@ATTRIBUTE countdeclmethodall REAL
@ATTRIBUTE countdeclmethod REAL
@ATTRIBUTE maxinheritancetree REAL
@ATTRIBUTE percentlackofcohesion REAL
@ATTRIBUTE countdeclinstancemethod REAL
@ATTRIBUTE countdeclinstancevariable REAL
@ATTRIBUTE defect {0.0,1.0}

@DATA
33.0,1.0,4.0,0.0,9.0,3.0,2.0,0.0,3.0,0.0,1.0
389.0,1.0,13.0,0.0,131.0,44.0,3.0,90.0,22.0,4.0,1.0
9.0,1.0,4.0,0.0,50.0,1.0,7.0,0.0,1.0,0.0,0.0
171.0,2.0,6.0,0.0,15.0,15.0,1.0,80.0,14.0,2.0,0.0
11.0,2.0,0.0,2.0,6.0,2.0,2.0,0.0,2.0,0.0,0.0
10.0,2.0,0.0,2.0,6.0,2.0,2.0,0.0,2.0,0.0,0.0
20.0,2.0,2.0,2.0,4.0,4.0,1.0,0.0,4.0,0.0,0.0
6.0,1.0,2.0,0.0,7.0,1.0,3.0,0.0,1.0,0.0,0.0
6.0,1.0,2.0,0.0,7.0,1.0,3.0,0.0,1.0,0.0,0.0
6.0,1.0,2.0,0.0,7.0,1.0,3.0,0.0,1.0,0.0,0.0
6.0,1.0,2.0,0.0,7.0,1.0,3.0,0.0,1.0,0.0,0.0
19.0,2.0,1.0,0.0,3.0,3.0,1.0,33.0,3.0,1.0,0.0
873.0,2.0,22.0,4.0,60.0,60.0,1.0,90.0,26.0,11.0,1.0
111.0,1.0,5.0,0.0,70.0,10.0,2.0,67.0,10.0,4.0,1.0
111.0,1.0,5.0,0.0,70.0,10.0,2.0,67.0,10.0,4.0,1.0
82.0,1.0,3.0,0.0,65.0,5.0,2.0,60.0,5.0,1.0,1.0
82.0,1.0,3.0,0.0,65.0,5.0,2.0,60.0,5.0,1.0,1.0
12.0,1.0,1.0,0.0,6.0,2.0,2.0,50.0,2.0,1.0,0.0
12.0,1.0,1.0,0.0,6.0,2.0,2.0,50.0,2.0,1.0,0.0
50.0,1.0,1.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,0.0
21.0,2.0,1.0,0.0,3.0,3.0,1.0,33.0,3.0,1.0,0.0
14.0,1.0,1.0,0.0,77.0,2.0,3.0,0.0,2.0,1.0,1.0
101.0,1.0,5.0,1.0,10.0,10.0,1.0,70.0,10.0,5.0,1.0
8.0,1.0,2.0,0.0,7.0,1.0,2.0,0.0,1.0,0.0,1.0
14.0,1.0,1.0,0.0,3.0,3.0,1.0,33.0,3.0,2.0,0.0
65.0,1.0,9.0,0.0,31.0,5.0,6.0,0.0,5.0,0.0,0.0
6.0,1.0,1.0,0.0,11.0,1.0,2.0,0.0,1.0,0.0,1.0
31.0,1.0,1.0,0.0,92.0,5.0,3.0,60.0,5.0,2.0,1.0
3.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
3.0,0.0,0.0,22.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
15.0,1.0,0.0,3.0,4.0,4.0,1.0,33.0,4.0,2.0,0.0
3.0,0.0,0.0,11.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
634.0,1.0,14.0,2.0,87.0,60.0,2.0,92.0,48.0,24.0,1.0
80.0,2.0,2.0,0.0,5.0,5.0,1.0,72.0,5.0,8.0,1.0
3.0,0.0,1.0,58.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
7.0,1.0,1.0,0.0,50.0,1.0,7.0,0.0,1.0,0.0,0.0
239.0,1.0,11.0,0.0,37.0,11.0,6.0,68.0,11.0,7.0,0.0
16.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,0.0
26.0,1.0,4.0,0.0,9.0,3.0,2.0,33.0,3.0,1.0,0.0
5.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0
5.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0
22.0,1.0,2.0,0.0,9.0,3.0,2.0,0.0,3.0,0.0,0.0
13.0,1.0,5.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0
13.0,1.0,5.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0
13.0,1.0,6.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0
12.0,1.0,3.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0
12.0,1.0,3.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0
13.0,1.0,3.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0
13.0,1.0,3.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212.0,1.0,16.0,2.0,72.0,72.0,1.0,0.0,72.0,0.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46.0,1.0,8.0,1.0,33.0,6.0,3.0,33.0,6.0,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
20.0,1.0,3.0,1.0,17.0,17.0,1.0,0.0,17.0,0.0,1.0
5.0,0.0,2.0,1.0,3.0,3.0,0.0,0.0,3.0,0.0,0.0
2233.0,7.0,106.0,402.0,505.0,263.0,4.0,97.0,261.0,57.0,1.0
10.0,2.0,3.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,0.0
4.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
7.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0
3.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
68.0,1.0,3.0,1.0,517.0,12.0,5.0,8.0,12.0,1.0,1.0
1256.0,1.0,42.0,0.0,61.0,61.0,1.0,96.0,44.0,3.0,1.0
40.0,1.0,9.0,0.0,6.0,6.0,1.0,0.0,6.0,1.0,0.0
47.0,2.0,2.0,0.0,5.0,5.0,1.0,60.0,5.0,8.0,0.0
7.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0
53.0,2.0,2.0,0.0,5.0,5.0,1.0,64.0,5.0,9.0,0.0
7.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0
73.0,2.0,6.0,0.0,5.0,5.0,1.0,60.0,5.0,12.0,1.0
7.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0
99.0,2.0,4.0,0.0,7.0,7.0,1.0,64.0,6.0,13.0,1.0
7.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0
68.0,2.0,3.0,0.0,5.0,5.0,1.0,60.0,5.0,14.0,0.0
7.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0
54.0,2.0,5.0,0.0,5.0,5.0,1.0,65.0,5.0,8.0,0.0
7.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0
62.0,2.0,3.0,0.0,7.0,7.0,1.0,57.0,7.0,5.0,0.0
9.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0
153.0,2.0,7.0,0.0,23.0,23.0,1.0,64.0,22.0,4.0,0.0
7.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0
49.0,2.0,4.0,0.0,5.0,5.0,1.0,50.0,5.0,2.0,0.0
7.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0
6.0,1.0,0.0,1.0,3.0,3.0,1.0,0.0,3.0,0.0,1.0
2068.0,2.0,46.0,1.0,37.0,8.0,2.0,87.0,3.0,0.0,1.0
12.0,1.0,5.0,0.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0
2908.0,2.0,43.0,0.0,208.0,208.0,1.0,0.0,208.0,1.0,1.0
421.0,1.0,15.0,0.0,39.0,39.0,1.0,83.0,24.0,16.0,1.0
3.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
8.0,1.0,4.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0
4.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0
4148.0,1.0,131.0,0.0,126.0,126.0,1.0,96.0,111.0,46.0,1.0
57.0,1.0,19.0,0.0,4.0,4.0,1.0,91.0,4.0,29.0,1.0
20.0,1.0,7.0,0.0,1.0,1.0,1.0,93.0,1.0,15.0,0.0
479.0,1.0,52.0,0.0,89.0,56.0,3.0,98.0,56.0,1.0,1.0
8.0,1.0,2.0,0.0,1.0,1.0,1.0,33.0,1.0,3.0,0.0
5.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0
